[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.002834s ]
[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000342s ]
[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.002968s ]
[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000425s ]
[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.002499s ]
[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000296s ]
[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | SQL: SHOW COLUMNS FROM `sk_erweima` [ RunTime:0.003328s ]
[ 2016-02-04T11:13:15+08:00 ] /hz/index.php?a=dianpu_delete&m=dianpu | SQL: DELETE FROM `sk_erweima` WHERE ( `0` IN ('36','46') ) [ RunTime:0.000222s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Tag[ app_begin ] --START--
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001122s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Run CheckLang Behavior [ RunTime:0.002112s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003425s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_admin` [ RunTime:0.003035s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_items_cate` [ RunTime:0.003426s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_user` [ RunTime:0.002484s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_user_info` [ RunTime:0.002411s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_user_msg` [ RunTime:0.002408s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_seo` [ RunTime:0.002785s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_role` [ RunTime:0.002755s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT `name`,`status`,`remark`,`create_time`,`update_time` FROM `sk_role` WHERE id=8 LIMIT 1   [ RunTime:0.000270s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_group` [ RunTime:0.002588s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT `id`,`title` FROM `sk_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000345s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_setting` [ RunTime:0.002838s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT * FROM `sk_setting`  [ RunTime:0.000293s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | NOTIC: [8] Undefined index: iframe baseAction.class.php 第 66 行.
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SHOW COLUMNS FROM `sk_erweima` [ RunTime:0.003216s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT COUNT(*) AS tp_count FROM `sk_erweima` LEFT JOIN sk_orders on sk_erweima.dingdan=sk_orders.order_id WHERE ( `status` = 4 ) LIMIT 1   [ RunTime:0.001680s ]
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | NOTIC: [8] Undefined index: p dianpuAction.class.php 第 81 行.
[ 2016-02-04T11:13:16+08:00 ] /hz/index.php?a=geren_dianpu&m=dianpu | SQL: SELECT * FROM `sk_erweima` LEFT JOIN sk_orders on sk_erweima.dingdan=sk_orders.order_id WHERE ( `status` = 4 ) LIMIT 0,20   [ RunTime:0.002135s ]
